78RD4	76WS	accepted	species	Ramaria leucoceras	(Pat.) Corner
4RBV7	76WS	accepted	species	Ramaria rubrievanescens	Marr & D.E. Stuntz
4RBMX	76WS	accepted	species	Ramaria cettoi	Schild
793D8	76WS	accepted	species	Ramaria raveneliana	Coker ex R.H. Petersen
9ZF4M	76WS	accepted	species	Ramaria ossolana	Franchi & M. Marchetti
4RBNF	76WS	accepted	species	Ramaria concreta	Velen.
4RBNJ	76WS	accepted	species	Ramaria conjunctipes	(Coker) Corner
4RBVV	76WS	accepted	species	Ramaria soluta	(P. Karst.) Corner
4RBVL	76WS	accepted	species	Ramaria sclerocarnosa	R.H. Petersen
6X3D8	76WS	accepted	species	Ramaria radicans	Cázares & G. Guevara
4RBL6	76WS	accepted	species	Ramaria anisata	Schild
4RBVT	76WS	accepted	species	Ramaria sinsinii	Christan & Yorou
4RBT5	76WS	accepted	species	Ramaria mediterranea	Schild & Franchi
4RBLM	76WS	accepted	species	Ramaria aurea	(Schaeff.) Quél.
4RBMZ	76WS	accepted	species	Ramaria ciliata	Velen.
4RBX5	76WS	accepted	species	Ramaria violaceibrunnea	(Marr & D.E. Stuntz) R.H. Petersen
4RBLL	76WS	accepted	species	Ramaria aurantiisiccescens	Marr & D.E. Stuntz
4RBQG	76WS	accepted	species	Ramaria flavomicrospora	R.H. Petersen
4RBLG	76WS	accepted	species	Ramaria asiatica	(R.H. Petersen & M. Zang) R.H. Petersen
4RBPL	76WS	accepted	species	Ramaria epichnoa	Velen.
4RBV9	76WS	accepted	species	Ramaria rubrogelatinosa	Corner & K.S. Thind
4RBVM	76WS	accepted	species	Ramaria secunda	(Berk.) Corner
4RBSH	76WS	accepted	species	Ramaria linearis	R.H. Petersen & M. Zang
9ZF4L	76WS	accepted	species	Ramaria luteoaurantiaca	Franchi & M. Marchetti
4RBNP	76WS	accepted	species	Ramaria cornuta	Velen.
4RBMB	76WS	accepted	species	Ramaria brunneomaculata	Schild
4RBTQ	76WS	accepted	species	Ramaria pallidosaponaria	R.H. Petersen
793D3	76WS	accepted	species	Ramaria polypus	Corner
4RBKP	76WS	accepted	species	Ramaria acutissima	(Berk.) Corner
4RBSD	76WS	accepted	species	Ramaria leptoformosa	Marr & D.E. Stuntz
78RCW	76WS	accepted	species	Ramaria rainierensis	Marr & D.E. Stuntz
4RBPT	76WS	accepted	species	Ramaria fasciculata	Coker ex R.H. Petersen
4RBX7	76WS	accepted	species	Ramaria vittadinii	R.H. Petersen
4RBT2	76WS	accepted	species	Ramaria magnipes	Marr & D.E. Stuntz
78RD7	76WS	accepted	species	Ramaria rotundispora	R.H. Petersen
78RD5	76WS	accepted	species	Ramaria pura	Corner & K.S. Thind
4RBLY	76WS	accepted	species	Ramaria boreimaxima	Kytöv. & M. Toivonen
4RBW5	76WS	accepted	species	Ramaria subaurantiaca	Corner
4RBVD	76WS	accepted	species	Ramaria safraniolens	Christan
6X3F2	76WS	accepted	species	Ramaria brunneipes	R.H. Petersen & M. Zang
4RBWQ	76WS	accepted	species	Ramaria tridentina	Schild
4RBP6	76WS	accepted	species	Ramaria decolorans	(P. Karst.) Corner
4RBNK	76WS	accepted	species	Ramaria coralcolor	Coker ex R.H. Petersen
4RBPJ	76WS	accepted	species	Ramaria eosanguinea	R.H. Petersen
4RBW4	76WS	accepted	species	Ramaria subalpina	K. Das & K. Acharya
4RBSQ	76WS	accepted	species	Ramaria luteoaeruginea	P. Zhang & Zhu L. Yang
4RBRD	76WS	accepted	species	Ramaria henriquesii	(Bres. & Roum.) Corner
6WRF4	76WS	accepted	species	Ramaria claviramulata	Marr & D.E. Stuntz
4RBTP	76WS	accepted	species	Ramaria pallidolilacina	P. Zhang & Z.W. Ge
78RCV	76WS	accepted	species	Ramaria roseola	Schild
793F4	76WS	accepted	species	Ramaria distinctissima	R.H. Petersen & M. Zang
4RBVX	76WS	accepted	species	Ramaria spinulosa	(Pers.) Quél.
4RBQ9	76WS	accepted	species	Ramaria flavicingula	R.H. Petersen
4RBTN	76WS	accepted	species	Ramaria pallidissima	Schild & G. Ricci
4RBSC	76WS	accepted	species	Ramaria largentii	Marr & D.E. Stuntz
4RBS9	76WS	accepted	species	Ramaria lacteobrunnescens	Schild
4RBQC	76WS	accepted	species	Ramaria flavissima	Schild
4RBM3	76WS	accepted	species	Ramaria bourdotiana	Maire
