"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Amanita rubescens","Amanita rubescens Pers.","yes","yes",12,14,"yes","Agaricus rubescens, Amanita rubescens",NA,"yes"
"Amanita rufoferruginea","Amanita rufoferruginea",NA,"yes",1,0,NA,"Amanita rufoferruginea",NA,"yes"
"Amanita sabulosa","Amanita sabulosa E.M.Davison & Giustiniano","yes","yes",0,4,NA,"Amanita sabulosa",NA,"yes"
"Amanita sordidobubalina","Amanita sordidobubalina A.E.Wood","yes","yes",5,4,NA,"Amanita sordidobubalina",NA,NA
"Amanita sordidogrisea","Amanita sordidogrisea A.E.Wood","yes","yes",0,1,NA,"Amanita sordidogrisea",NA,NA
"Amanita spissa","Amanita spissa (Fr.) Opiz","yes",NA,0,0,NA,"Agaricus spissus, Amanita spissa",NA,NA
"Amanita striatuloides","Amanita striatuloides A.E.Wood","yes","yes",1,4,NA,"Amanita striatuloides",NA,NA
"Amanita strobilacea","Amanita strobilacea (Cooke) McAlpine","yes",NA,0,0,NA,"Agaricus strobilaceus, Amanita strobilacea",NA,NA
"Amanita strobilaceoides","Amanita strobilaceoides A.E.Wood","yes","yes",0,2,NA,"Amanita strobilaceoides",NA,NA
"Amanita strobiliformis","Amanita strobiliformis (Paulet ex Vittad.) Bertill.","yes","yes",1,0,NA,"Amanita strobiliformis",NA,"yes"
"Amanita subalbida","Amanita subalbida Cleland","yes","yes",5,18,NA,"Amanita subalbida, Aspidella subalbida",NA,NA
"Amanita sublutea","Amanita sublutea (Cleland) E.-J.Gilbert","yes","yes",1,8,NA,"Amanita sublutea, Amanitopsis sublutea, Amidella sublutea",NA,NA
"Amanita subphalloides","Amanita subphalloides Bougher & K.Syme","yes",NA,0,0,NA,"Amanita subphalloides",NA,NA
"Amanita subremota","Amanita subremota (Cooke & Massee) A.M.Young","yes","yes",0,1,NA,"Amanita subremota, Hygrophorus subremotus",NA,NA
"Amanita subvaginata","Amanita subvaginata (Cleland & Cheel) E.-J.Gilbert","yes","yes",8,11,NA,"Amanita subvaginata, Amanitopsis subvaginata",NA,"yes"
"Amanita umbrinella","Amanita umbrinella E.-J.Gilbert & Cleland","yes","yes",107,106,NA,"Amanita umbrinella",NA,"yes"
"Amanita umbrinelloides","Amanita umbrinelloides A.E.Wood","yes","yes",1,5,NA,"Amanita umbrinelloides",NA,NA
"Amanita vaginata","Amanita vaginata (Bull.) Lam.","yes","yes",18,29,NA,"Agaricus vaginatus, Amanita vaginata, Amanitopsis plumbea, Amanitopsis vaginata",NA,"yes"
"Amanita variabilis","Amanita variabilis Cleland & E.-J.Gilbert","yes","yes",2,16,NA,"Amanita variabilis",NA,NA
"Amanita verna","Amanita verna (Bull.) Lam.","yes","yes",0,1,NA,"Agaricus vernus, Amanita verna",NA,"yes"
"Amanita virgineoides","Amanita virgineoides Bas","yes","yes",0,1,NA,"Amanita virgineoides",NA,"yes"
"Amanita virosa","Amanita virosa Secr.","yes",NA,0,0,NA,"Amanita virosa",NA,"yes"
"Amanita volvarielloides","Amanita volvarielloides B.J.Rees","yes",NA,0,0,NA,"Amanita volvarielloides",NA,NA
"Amanita wadjukiorum","Amanita wadjukiorum E.M.Davison","yes","yes",2,26,NA,"Amanita wadjukiorum",NA,"yes"
"Amanita wadulawitu","Amanita wadulawitu McGurk, E.M.Davison & E.L.J.Watkin","yes","yes",1,39,NA,"Amanita wadulawitu",NA,"yes"
"Amanita walpolei","Amanita walpolei O.K.Mill.","yes","yes",3,18,NA,"Amanita walpolei",NA,"yes"
