"dark_taxa_hotspot_index","CHELSA_BIO_Annual_Mean_Temperature","CHELSA_BIO_Annual_Precipitation","SG_Soil_pH_H2O_005cm","SG_SOC_Content_005cm","GRIP4_DistanceToAllRoads","GHS_Population_Density","ecm_sampleintensity_5degrees","veg_prop_ECM_Jinsu","host_family_richness","Pinaceae","Fabaceae","Achatocarpaceae","Asteraceae","Myrtaceae","Rosaceae","Juglandaceae","Casuarinaceae","Betulaceae","Dipterocarpaceae","Goodeniaceae","Ericaceae","Asteropeiaceae","Rhamnaceae","Fagaceae","Cistaceae","Polygonaceae","Malvaceae","Sarcolaenaceae","Gnetaceae","Nyctaginaceae","Nothofagaceae","Salicaceae","Ticodendraceae","Phyllanthaceae"
0.185348466038704,22.4665241241455,751.761047363281,53.1724395751953,144.251068115234,5085.890625,0,0.00265758903697133,70,8,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.0381295830011368,259.483276367188,2412.3857421875,37.835563659668,23.8688316345215,56141.7421875,0,0.00661411648616195,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0.00880197435617447,245.532958984375,270.400085449219,76.2652435302734,2.2720057964325,26006.6328125,0,0,50,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0765660852193832,-100.5,682.4765625,58.4841918945312,211.812042236328,64610.64453125,0,0.00325480010360479,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.00993798766285181,250.533218383789,705.252502441406,74.9355316162109,14.3501195907593,225.434295654297,0,0.00295619457028806,0,5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0810414105653763,178.647689819336,1070.32897949219,54.9486846923828,28.9816608428955,3159.85961914062,0,0.00265758903697133,0,9,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.0764188840985298,-103.516738891602,322.832855224609,57.6378479003906,139.671661376953,317490.78125,0,0,40,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0985333472490311,85.5496139526367,927.695007324219,61.308895111084,37.8837814331055,920.800048828125,0.0631880015134811,0.0247543975710869,78,8,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.0764985755085945,222.5,580.335021972656,59.8531341552734,9.62911128997803,65186.22265625,0,0.0085986303165555,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0919523760676384,256.516723632812,2030.46118164062,49.1222724914551,16.8486003875732,238.262298583984,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0592975877225399,292.466796875,788.104553222656,63.7311058044434,9.73605918884277,3892.2783203125,0,0.00594224967062473,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.122588612139225,232.483291625977,1752.76538085938,49.1632652282715,32.489574432373,6077.72216796875,0,0.00564364437013865,7,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.097468338906765,41.516731262207,1030.64282226562,47.4913139343262,193.982986450195,6102.0205078125,0,0.0358028002083302,78,8,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.0156049896031618,281.5,392.101867675781,75.7478866577148,7.50550556182861,1758.83483886719,0,0.00530354119837284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0661246031522751,-121.5,422.172973632812,51.3890953063965,188.632705688477,26669.94140625,0,0,66,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
